producto.x;cod_tcac;producto_tcac;producto.y
aceites;D013;aceite vegetal mezcla;aceite vegetal mezcla
acelga;NA;NA;NA
agua envasada;NA;NA;NA
aguacate choquette;NA;NA;NA
aguacate común;NA;NA;NA
aguacate hass;NA;NA;NA
aguacate papelillo;C002;aguacate papelillo;aguacate papelillo
aguacates otros;NA;NA;NA
ahuyama;B006;ahuyama;ahuyama
ají topito dulce;NA;NA;NA
ajo;NA;NA;NA
apio;B014;apio;apio
arracacha;B015;arracacha amarilla;arracacha amarilla
arroz;A010;arroz de primera;arroz de primera
arveja seca importada;T003;arveja verde seca importada;arveja verde seca importada
arveja verde en vaina;B019;arveja verde en vaina pastusa;arveja verde en vaina pastusa
atún en lata;NA;NA;NA
avena;A012;avena en hojuelas;avena en hojuelas
azúcar;K003;azúcar sulfitada;azúcar sulfitada
bagre;E005;bagre rayado entero congelado;bagre rayado entero congelado
banano bocadillo;NA;NA;NA
banano criollo;C010;banano criollo;banano criollo
banano urabá;NA;NA;NA
basa;E007;basa, entero congelado importado;basa, entero congelado importado
bebidas alcohólicas;NA;NA;NA
bebidas lácteas;NA;NA;NA
bebidas otras;NA;NA;NA
berenjena;NA;NA;NA
bocachico;E010;bocachico importado congelado;bocachico importado congelado
brócoli;B025;brócoli;brócoli
cachama;NA;NA;NA
café;L006;café molido;café molido
calabacín;NA;NA;NA
calabaza;NA;NA;NA
camarón;E017;camarón tigre precocido seco;camarón tigre precocido seco
carne de cerdo;NA;NA;NA
carne de pollo;NA;NA;NA
carne de res;NA;NA;NA
carnes frias y embutidos;NA;NA;NA
carnes otras;NA;NA;NA
cebolla cabezona blanca;B027;cebolla cabezona blanca bogotana;cebolla cabezona blanca bogotana
cebolla cabezona roja;B027;cebolla cabezona roja importada;cebolla cabezona roja importada
cebolla junca;B029;cebolla junca aquitania;cebolla junca aquitania
cereales otros;NA;NA;NA
cereales para desayuno;NA;NA;NA
cervezas;NA;NA;NA
chocolate;L008;chocolate amargo;chocolate amargo
chócolo mazorca;A053;chócolo mazorca;chócolo mazorca
cilantro;NA;NA;NA
ciruela importada;NA;NA;NA
ciruela nacional;NA;NA;NA
coco;C019;coco;coco
coliflor;B039;coliflor;coliflor
condimentos;NA;NA;NA
confitería;NA;NA;NA
conservas y enlatados;NA;NA;NA
cremas y sopas;NA;NA;NA
curuba;C021;curuba;curuba
durazno importado;NA;NA;NA
durazno nacional;NA;NA;NA
espinaca;NA;NA;NA
fresa;C025;fresa;fresa
fríjol;T015;fríjol calima;fríjol calima
fríjol verde;B046;fríjol verde cargamanto;fríjol verde cargamanto
frutas importadas otras;NA;NA;NA
frutas otras;NA;NA;NA
galletas;A027;galletas saladas;galletas saladas
garbanzo;NA;NA;NA
gaseosas y maltas;NA;NA;NA
granadilla;C028;granadilla;granadilla
granos secos;NA;NA;NA
grasas;NA;NA;NA
guanábana;C030;guanábana;guanábana
guayaba común;NA;NA;NA
guayaba pera;C032;guayaba pera;guayaba pera
guayabas otras;NA;NA;NA
gulupa;NA;NA;NA
habichuela;B052;habichuela;habichuela
harinas;NA;NA;NA
huevo;J004;huevo rojo aa;huevo rojo aa
jengibre;NA;NA;NA
kiwi;C042;kiwi;kiwi
lácteos otros;NA;NA;NA
leche en polvo;G008;leche en polvo;leche en polvo
leche pasteurizada uht;NA;NA;NA
lechuga batavia;B059;lechuga batavia;lechuga batavia
lechuga crespa;B060;lechuga crespa verde;lechuga crespa verde
lechugas otras;NA;NA;NA
lenteja;T026;lenteja importada;lenteja importada
limón común;C044;limón común;limón común
limón mandarino;NA;NA;NA
limón tahití;C044;limón tahití;limón tahití
lulo;C045;lulo;lulo
maíz amarillo;A044;maíz amarillo trillado;maíz amarillo trillado
maíz blanco;A046;maíz blanco trillado;maíz blanco trillado
mandarina arrayana;C050;mandarina arrayana;mandarina arrayana
mandarina común;NA;NA;NA
mandarina oneco;C050;mandarina oneco;mandarina oneco
mandarinas otras;NA;NA;NA
mango común;C051;mango común;mango común
mango de azúcar;NA;NA;NA
mango tommy;C052;mango tommy;mango tommy
mango yulima;NA;NA;NA
mangos otros;NA;NA;NA
manzana importada;C054;manzana roja importada;manzana roja importada
manzana nacional;NA;NA;NA
maracuyá;C056;maracuyá;maracuyá
mariscos otros;NA;NA;NA
melón;C060;melón cantalup;melón cantalup
mojarra;NA;NA;NA
mora;C061;mora de castilla;mora de castilla
naranja común;NA;NA;NA
naranja valencia y/o sweet;C062;naranja sweet;naranja sweet
naranjas otras;NA;NA;NA
ñame;NA;NA;NA
panela;K033;panela redonda morena;panela redonda morena
papa capira;B074;papa capira;papa capira
papa criolla;B071;papa criolla limpia;papa criolla limpia
papa nevada;NA;NA;NA
